text,intent,entities
1 minggu lagi pak ardi ambil barang 100 buah brownis udah dibayar tunai,tambah_transaksi_tanggal_spesifik,pelanggan=pak ardi|produk=brownis|jumlah=100|satuan=buah|bayar=tunai|status=lunas|waktu=1 minggu lagi
3 hari kedepan pak ardi ambil barang 100 buah brownis udah dibayar tunai,tambah_transaksi_tanggal_spesifik,pelanggan=pak ardi|produk=brownis|jumlah=100|satuan=buah|bayar=tunai|status=lunas|waktu=3 hari kedepan
3 hari yang lalu pak ardi ambil barang 100 buah brownis udah dibayar tunai,tambah_transaksi_tanggal_spesifik,pelanggan=pak ardi|produk=brownis|jumlah=100|satuan=buah|bayar=tunai|status=lunas|waktu=3 hari lalu
Berapa harga brownis,cek_harga_produk_spesifik,barang=Brownis
Berapa harga permen,cek_harga_produk_spesifik,barang=Permen
Berapa total transaksi hari ini,total_transaksi,
Berapa total tunggakan hari ini,total_tunggakan,
Berapa total uang masuk hari ini,total_uang_masuk,
Berapa total uang tagihan hari ini,total_tagihan,
Berapa total uang tagihan kemarin,total_tagihan,
Berapa total uang tagihan tanggal 21,total_tagihan,tanggal=21
Cek harga permen,cek_harga_produk_spesifik,barang=Permen
Cek pemasukan hari ini,total_uang_masuk,
Cek penjualan hari ini,cek_penjualan_hari_ini,
Cek pesanan hari ini,tampilkan_transaksi_hari_ini,
Cek pesanan pak andi,cek_pesanan_pelanggan,pelanggan=Andi
Cek pesanan tanggal 21,tampilkan_transaksi_tanggal,tanggal=21
Cek pesanan udin,cek_pesanan_pelanggan,pelanggan=Udin
Cek/tampilkan harga barang,tampilkan_produk,
Cek/tampilkan pesanan tanggal 21 04 2026,tampilkan_transaksi_tanggal,tanggal=21-04-2026
Edit harga barang,edit_produk,
Ganti harga brownis jadi 2000,edit_produk,barang=Brownis|harga=2000
Ganti harga permen jadi 14.000,edit_produk,barang=Permen|harga=14000
Hapus pesanan udin dengan status pembayaran belum lunas,hapus_transaksi,pelanggan=Udin|status=Hutang
Hapus semua data penjualan,hapus_transaksi,
